id,shop_name,URL,rate,rocation,comment,smoking
1,カフェ ビーハウス 渋谷店,https://tabelog.com/tokyo/A1303/A130301/13231826/,3.24, 渋谷駅 179m / カフェ、喫茶店,森の中のカフェをイメージしたビーハウスカフェ！蜂蜜×チーズをお楽しみください！,分煙
2,椿屋珈琲店 神楽坂茶房,https://tabelog.com/tokyo/A1309/A130905/13191536/,3.09, 牛込神楽坂駅 398m / 喫茶店,大好評！苺づくしフェア始めました！,分煙
3,ワイン厨房 tamaya 田端店,https://tabelog.com/tokyo/A1323/A132301/13157858/,3.5, 田端駅 266m / イタリアン、ワインバー、喫茶店,あきらめてませんか？田端で美味しいワインとお料理のお店！ 4駅利用可の隠れ家ビストロ＆バル,分煙
4,澤井珈琲 東京銀座店,https://tabelog.com/tokyo/A1301/A130101/13200782/,3.2, 銀座駅 172m / カフェ、コーヒー専門店、喫茶店,【銀座駅 徒歩3分】こだわりの珈琲と紅茶をお楽しみください。,分煙
5,KITORA STEAK&SEAFOOD,https://tabelog.com/tokyo/A1313/A131305/13175925/,3.13, 西葛西駅 138m / 鉄板焼き、ステーキ、喫茶店,ご褒美はお肉で♪ビールで乾杯！食後のコーヒー！豊富なドリンク☆カジュアルなステーキ店！,分煙
6,ベースポイント,https://tabelog.com/tokyo/A1304/A130401/13150954/,3.05, 西新宿駅 222m / カフェ、喫茶店、アジア・エスニック料理（その他）,【全席電源・フリーWi-Fi】隠れ家カフェでゆったりお食事しませんか？,分煙
7,Poramu,https://tabelog.com/tokyo/A1311/A131102/13159087/,3.14, 浅草（つくばＥＸＰ）駅 159m / 居酒屋、バー・お酒（その他）、喫茶店,浅草~居酒屋poramu∼名物のスタミナ石焼き、多種類のお酒！大箱個室カラオケ可能！〜,喫煙可
8,19TEA,https://tabelog.com/tokyo/A1303/A130301/13224476/,3.09, 渋谷駅 493m / カフェ、スイーツ（その他）、喫茶店,＞＞【渋谷1号店★】韓国で人気のオーガニックCafé♪＜＜“アボカド”が濃厚アイスに…!?,完全禁煙
9,自家焙煎椿屋珈琲 池上店,https://tabelog.com/tokyo/A1317/A131714/13119769/,3.19, 池上駅 208m / カフェ、喫茶店、コーヒー専門店,焼き立てパンと本格自家焙煎珈琲のお店です,分煙
10,銀座珈琲店 銀座数寄屋橋店,https://tabelog.com/tokyo/A1301/A130101/13173773/,3.53, 銀座駅 90m / パンケーキ、カフェ、喫茶店,バリスタが淹れるハンドドリップ本格珈琲店★手作りパンケーキを堪能！,分煙
11,銀座七丁目花椿通り  椿屋珈琲店本店,https://tabelog.com/tokyo/A1301/A130101/13002644/,3.52, 銀座駅 384m / 喫茶店、コーヒー専門店、カフェ,珈琲マイスターが淹れる本格派のサイフォン珈琲を、,分煙
12,椿屋カフェ 渋谷店,https://tabelog.com/tokyo/A1303/A130301/13093019/,3.09, 渋谷駅 310m / 喫茶店、カフェ、ケーキ,珈琲マイスターが淹れる本格派のサイフォン珈琲を、,分煙
13,椿屋カフェ キラリナ京王吉祥寺店,https://tabelog.com/tokyo/A1320/A132001/13167516/,3.09, 吉祥寺駅 39m / カフェ、コーヒー専門店、喫茶店,珈琲マイスターが淹れる本格派のサイフォン珈琲を、,完全禁煙
14,吉祥寺 多奈加亭,https://tabelog.com/tokyo/A1320/A132001/13005806/,3.55, 吉祥寺駅 343m / カフェ、喫茶店、ケーキ,1977年創業の老舗人気紅茶・洋菓子店（珈琲も有）。インターネット通販も承ります。,完全禁煙
